NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Citﾂ Nationale de l'Histoire de l'Immigration,75,Paris 12e Arrondissement,75112,75012,2,Non,,,,,,,,,,,,Oui,MN MF,,,,,,,,,,,,,,,Oui,92080,,293, ,,,AV,,DAUMESNIL,752003612,13,133,13311,"656661,2838","6859560,308"
Claudine Papillon,75,Paris 3e Arrondissement,75103,75003,3,Non,,,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,13, , , ,RUE, ,CHAPON,753000716,13,133,13321,"652797,7868","6862768,122"
Climat Ecole de musique,94,Sucy-en-Brie,94071,94370,3,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,14,Oui,11,,,,27,,,,RUE,DE,GRAND VAL,943006839,13,132,13211,"664744,1","6852915,2"
Club Dunois,75,Paris 13e Arrondissement,75113,75013,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,61, , , ,RUE, ,DUNOIS,752004044,13,133,13313,"653528,6067","6859348,323"
Club musical Yamaha,94,Alfortville,94002,94140,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,19,,,,RUE,,ANATOLE FRANCE,943006851,13,132,13211,"657055,4",6857044
Collectif 12,78,Mantes-la-Jolie,78361,78200,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,1,,,,,,,,174,,,,BD,,MARECHAL JUIN,780000052,13,132,13216,"604735,4175","6877877,732"
Com'Art,75,Paris 1er Arrondissement,75101,75001,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,15,,,,RUE,DU,LOUVRE,753003462,10,103,10315,"651726,7587","6862808,782"
Comﾂdie Bastille,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,5, ,,,RUE,,NICOLAS APPERT,752003781,13,133,13312,"653793,5209","6862273,78"
Comﾂdie Contrescarpe,75,Paris 5e Arrondissement,75105,75005,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,5, ,,,RUE,,BLAINVILLE,752003697,13,133,13312,"652211,5331","6860687,649"
Comﾂdie Rﾂpublique,75,Paris 3e Arrondissement,75103,75003,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,1, ,,,BD,,SAINT-MARTIN,752003679,13,133,13312,"653193,9361","6863280,712"
Comﾂdie Saint-Michel,75,Paris 5e Arrondissement,75105,75005,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,95, , , ,BD, ,SAINT-MICHEL,753000145,13,133,13312,"651529,5965","6860704,953"
Comedy Club,75,Paris 10e Arrondissement,75110,75010,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,,,,,,,,,42, , , ,BD,DE,BONNE NOUVELLE,753000295,13,133,13312,"652207,3507","6863613,14"
Competence Voice Solution,75,Paris 7e Arrondissement,75107,75007,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,7, , , ,RUE, ,ALBERT DE LAPPARENT,753000254,13,132,13211,"649217,8389","6861117,499"
Confluences Maison des Arts Urbains,75,Paris 20e Arrondissement,75120,75020,3,Non,,,,,,,,,,,,,,,,,,,,Oui,autre,,1,,,,,,,,190, ,,,BD,,CHARONNE,752003865,13,133,13313,"655422,9984","6862151,884"
Confort Loisir Eveil Cloﾂ,75,Paris 4e Arrondissement,75104,75004,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,59, , , ,RUE,DU,TEMPLE,753000051,13,134,13413,"652655,2548","6862450,391"
Confort Loisirs Eveil,75,Paris 4e Arrondissement,75104,75004,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,59, , , ,RUE,DU,TEMPLE,753000251,13,132,13211,"652655,2548","6862450,391"
Conservatoir Art Dramatique,91,Athis-Mons,91027,91200,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,3,,,,RUE,,LEFEVRE UTILE,910000001,13,132,13217,"654711,1121","6845581,678"
Conservatoire,77,Mitry-Mory,77294,77297,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,7,,,,AV,DE,VERDUN,770000037,13,132,13217,"670742,5983","6872897,828"
Conservatoire,77,Pontault-Combault,77373,77340,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,79,,,,AV,DE LA,REPUBLIQUE,770000056,13,132,13217,"671288,7507","6855934,373"
Conservatoire,77,Villeparisis,77514,77273,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,3,,,,CHEM,DE LA,COURONNE,770000011,13,132,13217,"671300,9482","6870964,382"
Conservatoire,78,Bougival,78092,78380,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,10,,,,RUE,DU,GENERAL LECLERC,780000041,13,132,13217,"636789,4589","6863303,129"
Conservatoire,78,Carriﾊres-sur-Seine,78124,78400,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,66,,,,BD,,MAURICE BERTEAUX,780000063,13,132,13217,"640191,9605","6868398,368"
Conservatoire,78,Chatou,78146,78400,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,85,,,,BD,DE LA,REPUBLIQUE,780000061,13,132,13217,"637932,3403","6866733,887"
Conservatoire,91,Boussy-Saint-Antoine,91097,91800,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,47,,,,RUE,,GEORGES COUBARD,910000082,13,132,13217,"665498,6326","6843394,178"
Conservatoire,91,Brunoy,91114,91800,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,19,,,,RUE,DU,REVEILLON,910000081,13,132,13217,"663248,301","6844523,181"
Conservatoire,91,Montgeron,91421,91230,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,23,,,,RUE,DE,CHALANDRAY,910000009,13,132,13217,"660584,9996","6844997,153"
Conservatoire,91,Palaiseau,91477,91120,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,69,,,,RUE,,VICTOR HUGO,910000127,13,132,13217,"644660,5796","6845992,468"
Conservatoire,91,Verriﾊres-le-Buisson,91645,91370,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,13,,,,RUE,D',ANTONY,910000044,13,132,13217,"646284,3602","6850044,249"
Conservatoire,91,Vigneux-sur-Seine,91657,91270,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,63,,,,AV,,HENRI BARBUSSE,910000035,13,132,13217,"657307,953","6844609,287"
Conservatoire,91,Wissous,91689,91320,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,15,,,,RUE,,FERNAND LEGER,910000024,13,132,13217,"650679,246","6849077,23"
Conservatoire,91,Wissous,91689,91320,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,15,,,,RUE,,FERNAND LEGER,910000021,13,132,13217,"650679,246","6849077,23"
Conservatoire,92,Vanves,92075,92170,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,26, ,,,RUE,,MARY BESSEYRE,923004716,13,132,13217,"647842,5544","6858193,992"
Conservatoire,93,Drancy,93029,93700,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,93,,,,RUE,DE LA,REPUBLIQUE,933008996,13,132,13217,"658773,4","6869524,4"
Conservatoire,94,Villecresnes,94075,94440,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,49, ,,,RUE,,LIEUT DAGORNO,943002905,13,132,13211,"665691,1998","6846907,352"
Conservatoire,95,Sarcelles,95585,95200,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,2,,,,AV,,PAUL LANGEVIN,950000044,13,132,13217,"654541,1295","6875999,036"
Conservatoire - Hﾓtel Aymery,78,Viroflay,78686,78220,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,17,,,,RUE,,JEAN REY,780000048,13,132,13217,"639104,5081","6855784,479"
Conservatoire - Louis Aragon,95,Garges-lﾊs-Gonesse,95268,95140,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,14,,,,RUE,,PHILIBERT DELORME,950000023,13,132,13217,"656303,8565","6874369,156"
Conservatoire Andrﾂ Malraux,91,Verriﾊres-le-Buisson,91645,91370,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,13,,,,RUE,D',ANTONY,910000045,13,132,13217,"646284,3602","6850044,249"
Conservatoire annexe,92,Sceaux,92071,92330,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,3,b,,,RUE,,MARGUERITE RENAUDIN,923006001,13,132,13217,"647963,2572","6853192,287"
Conservatoire Centre Culturel Joseph Kessel,93,Villepinte,93078,93420,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,251,,,,BD,,BALLANGER,933008923,13,132,13217,"667160,7036","6873416,628"
Conservatoire Claude Debussy,75,Paris 17e Arrondissement,75117,75017,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,222,,,,RUE,DE,COURCELLES,753002037,13,132,13217,"648240,957","6865613,358"
Conservatoire Darius Milhaud et Auditorium Paul Arma,92,Antony,92002,92160,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,140, ,,,AV,,DIVISION LECLERC,923000230,13,132,13217,"648745,4001","6849586,743"
Conservatoire d'Art Lyrique de Paris,75,Paris 4e Arrondissement,75104,75004,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,18, , , ,RUE,DE L',HOTEL DE VILLE,753001204,13,132,13211,"652833,6582","6861733,494"
Conservatoire de danse - CEC,91,Yerres,91691,91330,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,2,,,,RUE,,MARC SANGNIER,910000050,13,132,13217,"662489,6509","6846263,009"
Conservatoire de Danse - Espace Ramon,92,Garches,92033,92380,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,7, ,,,RUE,DES,SUISSS,923003804,13,132,13217,"641093,2828","6861848,089"
Conservatoire de musique,91,Saclay,91534,91400,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,5,b,,,RUE,DE,PALAISEAU,910000109,13,132,13217,"639370,0055","6848158,635"
Conservatoire de musique,91,Yerres,91691,91330,2,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,Oui,10,,,,10,,,,RUE,DE,COUCY,910000048,13,132,13217,"662323,0183","6845938,432"
Conservatoire de Musique,94,Santeny,94070,94440,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,3, ,,,RTE,,MAROLLES,943002686,13,132,13211,"668448,6762","6847507,137"
Conservatoire de Musique (Foyer des Arts et Loisirs),92,La Garenne-Colombes,92035,92250,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,12, ,,,AV,,FOCH,923001485,13,132,13211,"645217,2441","6868140,576"
Conservatoire de Musique Erik satie,93,Bagnolet,93006,93170,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,36, ,,,RUE,,PIERRE ET MARIE CURIE,933000427,13,132,13217,"657762,1863","6863564,449"
Conservatoire de Musique et d'Arts Dramatiques Chﾃteau de Sucy,94,Sucy-en-Brie,94071,94370,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,1, ,,,AV,,GEORGES POMPIDOU,943002777,13,132,13217,"665002,9555","6852470,177"
Conservatoire de musique et de danse,91,Epinay-sous-Sﾂnart,91215,91860,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,12,,,,RUE,,SAINTE GENEVIEVE,910000071,13,132,13217,"664288,1968","6843692,547"
Conservatoire de Musique et de Danse,92,Colombes,92025,92700,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,25, ,,,RUE,,REINE HENRIETTE,923000984,13,132,13217,"645012,54","6869707,415"
Conservatoire de Musique et de Danse,93,Dugny,93030,93440,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,3, ,,,AV,DU,GENERAL DE GAULLE,933009079,13,132,13217,"657266,7507","6872463,682"
Conservatoire de Musique et de Danse,93,Le Bourget,93013,93350,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,30, ,,,RUE, ,GUYNEMER,933005824,13,132,13217,"658258,1555","6871060,046"
Conservatoire de Musique et de Danse,93,Saint-Denis,93066,93200,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,15, ,,,RUE,,CATULIENNE,933002512,13,132,13217,"652470,7911","6870830,6"
Conservatoire de Musique et de Danse,94,Choisy-le-Roi,94022,94600,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,44, ,,,RUE,DU,DOCTEUR ROUX,943006775,13,132,13217,"656081,6873","6852477,979"
Conservatoire de Musique et de Danse ,93,Pierrefitte-sur-Seine,93059,93380,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,65, ,,,RUE,,ETIENNE DOLET,933002289,13,132,13217,"653526,0179","6873875,146"
Conservatoire de Musique et de Danse - Pﾓle Culturem,92,Chﾃtenay-Malabry,92019,92290,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,254,,,,AV,DE LA,DIVISION LECLERC,923005907,13,132,13217,"646149,1","6851854,5"
Conservatoire de Musique et de Danse (emmda),92,Fontenay-aux-Roses,92032,92260,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,3,b,,,RUE,,DOCTEUR SOUBISE,923001197,13,132,13217,"647618,0231","6854421,199"
Conservatoire de Musique et de Danse Chﾃteau de Bellevue ?,94,Villeneuve-Saint-Georges,94078,94190,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,9, ,,,RUE,,CROSNE,943003006,13,132,13217,"659285,8678","6847348,858"
Conservatoire de Musique et de Danse Claude Debussy,94,Villiers-sur-Marne,94079,94350,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,5, ,,,PL,,REMOIVILLE,943003049,13,132,13217,"666388,7164","6858652,462"
Conservatoire de Musique et de Danse Louis Kervoern Espace Franﾇois Mauriac,93,Sevran,93071,93270,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,51, ,,,AV,,GENERAL LECLERC,933005372,13,132,13217,"665078,7117","6871196,569"
Conservatoire de Musique et de Danse Maurice Baquet,93,Noisy-le-Grand,93051,93160,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,1, ,,,PL,,GALLIENI,933002168,13,132,13217,"667337,2062","6861050,759"
Conservatoire de Musique Marietta Alboni,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,13, , , ,PL,DU,COMMERCE,753001207,13,132,13211,"648121,01","6860808,099"
"Conservatoire de Musique, de Danse et d'Art Dramatique de Limeil-Brﾂvanne",94,Limeil-Brﾂvannes,94044,94450,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,23, ,,,RUE,,PASTEUR,943001694,13,132,13217,"661811,0606","6849706,464"
Conservatoire du Centre W. A. Mozart,75,Paris 1er Arrondissement,75101,75001,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,53,,,,RUE,,JEAN-JACQUES ROUSSEAU,753002116,13,132,13217,"651809,9934","6862857,703"
Conservatoire Europﾂen d'Ecriture Audiovisuelle,75,Paris 14e Arrondissement,75114,75014,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,38, , ,,RUE,,FAUBOURG SAINT-JACQUES,751007608,10,103,10315,"651409,0221","6859803,884"
Conservatoire Francis Poulenc,93,Rosny-sous-Bois,93064,93110,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,2, ,,,PL,,CARNOT,933002363,13,132,13217,"662024,2467","6863804,865"
Conservatoire Gabriel-Faurﾂ,93,Les Lilas,93045,93260,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,35, ,,,PL,,CHARLES DE GAULLE,933000222,13,132,13217,"657380,7164","6864897,38"
Conservatoire Guy Dinoird,94,Fontenay-sous-Bois,94033,94120,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,27, ,,,RUE,,CLOS D'ORLEANS,943001230,13,132,13217,"661125,2899","6860450,805"
"Conservatoire Intercommunal  de Musique, Danse et Thﾂﾃtre",94,Le Kremlin-Bicﾈtre,94043,94270,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,2, ,,,PL,,VICTOR HUGO,943001544,13,132,13217,"653050,4649","6856751,196"
Conservatoire Intercommunal de Musique et de Danse de Chﾃtillon,92,Chﾃtillon,92020,92320,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,5, ,,,RUE,,PAUL BERT,923000820,13,132,13217,"647889,8919","6856233,864"
"Conservatoire Intercommunal de Musique, de Danse et d'Art Dramatique",92,Malakoff,92046,92240,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,66, ,,,BD,,GABRIEL PERI,923001792,13,132,13217,"648567,72","6857897,391"
Conservatoire Intercommunal Raoul Pugno,92,Montrouge,92049,92120,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,6, ,,,RUE,,RACINE,923001957,13,101,13217,"649908,9338","6857034,889"
Conservatoire International de Musique de Paris,75,Paris 8e Arrondissement,75108,75008,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,8, , , ,RUE, ,ALFRED DE VIGNY,753001205,13,132,13211,"649046,5864","6864534,704"
Conservatoire Jean Rivier,93,Villemomble,93077,93250,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,1,,,,RUE,,MERCIERE,933008998,13,132,13217,"664294,1","6864923,7"
Conservatoire Jean-Baptiste Lully,92,Puteaux,92062,92800,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,5,,,,RUE,,FRANCIS DE PRESSENSE,923005906,13,132,13217,"644008,1849","6864255,599"
Conservatoire La Ferme,91,Boussy-Saint-Antoine,91097,91800,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,,,,,COUR,,NEUENHAUS,910000054,13,132,13217,"665380,2356","6843427,453"
Conservatoire Libre du Cinﾂma Franﾇais,75,Paris 19e Arrondissement,75119,75019,,Non,,,,,,,,,,,,,,,,,,,,,,,,Oui,22,,,,,,9, , ,,QU,,OISE,751007676,10,103,10315,"654685,7208","6865732,64"
Conservatoire Maurice Ravel,75,Paris 13e Arrondissement,75113,75013,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,16,,,,RUE,,NICOLAS FORTIN,753002087,13,132,13217,"652908,0729","6859020,675"
Conservatoire Maurice Ravel,92,Levallois-Perret,92044,92300,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,33, ,,,RUE,,GABRIEL PERI,923004056,13,132,13217,"647777,7343","6866012,485"
Conservatoire Maurice Ravel,93,Clichy-sous-Bois,93014,93390,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,58, ,,,ALL,,AUGUSTE GENEVIEVE,933000952,13,132,13217,"666433,2223","6868582,15"
Conservatoire Maurice Ravel ,91,Athis-Mons,91027,91200,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,,,,,RUE,,ETIENNE LEBEAU,910000088,13,132,13217,"654983,8308","6845608,05"
Conservatoire Municipal,92,Garches,92033,92380,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,60,b,,,RUE,,19 JANVIER,923001282,13,132,13217,"640204,3731","6861471,699"
Conservatoire Municipal,94,Bonneuil-sur-Marne,94011,94380,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,10, ,,,RUE,,AUGUSTE GROSS,943000554,13,132,13217,"662158,0538","6852788,022"
Conservatoire Municipal Agrﾂﾂ,94,Vincennes,94080,94300,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,98, ,,,RUE,,FONTENAY,943003085,13,132,13217,"658844,1398","6861049,555"
Conservatoire Municipal Agrﾂﾂ de Musique et de Danse,93,Livry-Gargan,93046,93190,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,41, ,,,RUE,,EDOUARD HERRIOT,933001705,13,132,13217,"665832,648","6869021,613"
Conservatoire Municipal Agrﾂﾂ Hector Berlioz,93,Les Pavillons-sous-Bois,93057,93320,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,77, ,,,ALL,,DANIELLE CASANOVA,933001615,13,132,13217,"663296,4276","6867330,845"
Conservatoire Municipal Andrﾂ Navarra,94,Charenton-le-Pont,94018,94220,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,1, ,,,ALL,,TILLEULS,943000773,13,132,13217,"656213,6896","6858685,657"
Conservatoire Municipal Camille Saint-Saens,75,Paris 8e Arrondissement,75108,75008,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,208, ,,,RUE,,FAUBOURG SAINT-HONORE,752004290,13,132,13217,"648996,8934","6864151,411"
Conservatoire Municipal Charles Munch,75,Paris 11e Arrondissement,75111,75011,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,7, ,,,RUE,,DURANTI,752004295,13,132,13217,"654832,7183","6862493,119"
Conservatoire Municipal Darius Milhaud,75,Paris 14e Arrondissement,75114,75014,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,26, ,,,RUE,,MOUTON-DUVERNET,752004298,13,132,13217,"650478,628","6859389,285"
Conservatoire Municipal de Musique,92,Courbevoie,92026,92400,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,13,b,,,BD,,ARISTIDE BRIAND,923001059,13,132,13217,"645575,3859","6866824,592"
Conservatoire Municipal de Musique et d'Art Dramatique,94,Saint-Maurice,94069,94410,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,30,b,,,RUE,,MARECHAL LECLERC,943002638,13,132,13217,"657820,8433","6857698,602"
Conservatoire Municipal de Musique et de Danse,92,Asniﾊres-sur-Seine,92004,92600,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,4, ,,,RUE,,EGLISE,923000292,13,132,13217,"648158,1303","6868071,822"
Conservatoire Municipal de Musique et de Danse,93,Epinay-sur-Seine,93031,93800,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,79, ,,,AV,,JEAN JAURES,933000143,13,132,13217,"650202,0551","6873187,559"
Conservatoire Municipal de Musique et de Danse,93,Noisy-le-Sec,93053,93130,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,67, ,,,AV,,JEAN JAURES,933002199,13,132,13217,"660192,203","6866096,704"
Conservatoire Municipal de Musique et de Danse,93,Vaujours,93074,93410,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,67, ,,,RUE,,COUBRON,933005501,13,132,13217,"668386,3498","6869910,64"
"Conservatoire Municipal de Musique, de Danse et d'art Dramatique Georges Gourdet",92,Suresnes,92073,92150,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,1, ,,,PL,DU,PUITS D'AMOUR,923002811,13,132,13217,"643245,5299","6863447,224"
Conservatoire Municipal Erik Satie,75,Paris 7e Arrondissement,75107,75007,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,135,b,,,RUE,,UNIVERSITE,752004289,13,132,13217,"649181,5055","6862559,16"
Conservatoire Municipal Francis Poulenc,75,Paris 16e Arrondissement,75116,75016,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,11, ,,,RUE,,JEAN DE LA FONTAINE,752004292,13,132,13217,"646784,6635","6861592,2"
Conservatoire Municipal Franﾇois-Joseph Gossec,93,Gagny,93032,93220,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,41, ,,,AV,,JEAN JAURES,933001269,13,132,13217,"665624,1065","6864960,563"
Conservatoire Municipal Frederic Chopin,75,Paris 15e Arrondissement,75115,75015,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,43, ,,,RUE,,BARGUE,752004299,13,132,13217,"649279,2929","6859990,826"
Conservatoire Municipal Gabriel Faure,75,Paris 5e Arrondissement,75105,75005,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,12, ,,,RUE,,PONTOISE,752004287,13,132,13217,"652444,39","6861297,855"
Conservatoire Municipal Gabriel Faurﾂ,93,Neuilly-sur-Marne,93050,93330,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,39, ,,,AV,,GENERAL DE GAULLE,933002060,13,132,13217,"665362,6807","6861890,296"
Conservatoire Municipal Georges Bizet,75,Paris 20e Arrondissement,75120,75020,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,54, ,,,RUE,,CENDRIERS,752004306,13,132,13217,"655179,7862","6863068,286"
Conservatoire Municipal Gustave Charpentier,75,Paris 18e Arrondissement,75118,75018,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,29, ,,,RUE,,BAUDELIQUE,752004302,13,132,13217,"652168,4395","6866125,856"
Conservatoire Municipal Hector Berlioz,75,Paris 10e Arrondissement,75110,75010,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,6, ,,,RUE,,PIERRE BULLET,752004294,13,132,13217,"652927,8662","6863711,178"
Conservatoire Municipal Jacques Ibert,75,Paris 19e Arrondissement,75119,75019,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,81, ,,,RUE,,ARMAND CARREL,752004304,13,132,13217,"653946,205","6864945,268"
Conservatoire Municipal Jean- Wiﾂner Espace Culturel,94,Villeneuve-le-Roi,94077,94290,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,8, ,,,RUE,,MAURICE TINSEAU,943002995,13,132,13217,"657307,4605","6848388,9"
Conservatoire Municipal Jean-Philippe Rameau,75,Paris 6e Arrondissement,75106,75006,3,Non,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,10,,,,3,t,,,RUE,,MABILLON,752004288,13,132,13217,"651232,1481","6861531,748"
